userId,Product_Id,Ratings,Country,Category,Product Name,Prediction Score
689,101,5,India,Spicy,Kurkure,0.8837998
689,102,3,India,Sweet,Dairy Milk,0.45131698
689,103,3,India,Sour,Dried Amla,0.5766604
689,104,2,India,Salty,Balaji Chips,0.18201432
689,105,3,India,Bitter,Crispy Karela,0.18485302
689,106,4,India,Spicy,Haldiram Aloo Bhujia,0.14568663
689,107,4,India,Sweet,Kaju Katli,0.8738616
689,108,3,India,Sour,Hajmola,0.1264109
689,109,5,India,Salty,Salted Peanuts,0.08766255
689,110,4,India,Bitter,Bittergourd Chips,0.6963475
745,101,2,India,Spicy,Kurkure,0.16092172
745,102,5,India,Sweet,Dairy Milk,0.8721098
745,103,3,India,Sour,Dried Amla,0.72327757
745,104,1,India,Salty,Balaji Chips,0.8716912
745,105,4,India,Bitter,Crispy Karela,0.14568663
657,101,3,India,Spicy,Kurkure,0.8738616
657,102,2,India,Sweet,Dairy Milk,0.1264109
657,103,2,India,Sour,Dried Amla,0.08766255
657,104,3,India,Salty,Balaji Chips,0.6963475
657,105,5,India,Bitter,Crispy Karela,0.16092172
559,101,1,India,Spicy,Kurkure,0.3138728
559,102,3,India,Sweet,Dairy Milk,0.76201284
559,103,2,India,Sour,Dried Amla,0.85570025
559,104,4,India,Salty,Balaji Chips,0.8572345
559,105,3,India,Bitter,Crispy Karela,0.89030635
569,101,4,India,Spicy,Kurkure,0.292376
569,102,4,India,Sweet,Dairy Milk,0.33274353
569,103,2,India,Sour,Dried Amla,0.24248442
569,104,3,India,Salty,Balaji Chips,0.60576844
569,105,5,India,Bitter,Crispy Karela,0.58409023
41,101,3,India,Spicy,Kurkure,0.09442964
41,102,2,India,Sweet,Dairy Milk,0.36961865
41,103,3,India,Sour,Dried Amla,0.061289966
41,104,1,India,Salty,Balaji Chips,0.7528282
41,105,3,India,Bitter,Crispy Karela,0.84953535
41,111,3,India,Spicy,Chakri,0.8572345
41,112,4,India,Spicy,Bhakarwadi,0.89030635
41,113,5,India,Sweet,Perk,0.292376
41,114,4,India,Sweet,Potato Chivda ,0.33274353
41,115,5,India,Salty,Salted Chana,0.24248442
860,101,4,India,Spicy,Kurkure,0.2885425
860,102,4,India,Sweet,Dairy Milk,0.03540373
860,103,1,India,Sour,Dried Amla,0.16309029
860,104,5,India,Salty,Balaji Chips,0.28237104
860,105,1,India,Bitter,Crispy Karela,0.56368977
129,101,4,India,Spicy,Kurkure,0.5198505
129,102,5,India,Sweet,Dairy Milk,0.7948431
129,103,3,India,Sour,Dried Amla,0.5097607
129,104,5,India,Salty,Balaji Chips,0.5081594
129,105,1,India,Bitter,Crispy Karela,0.39844826
287,101,4,India,Spicy,Kurkure,0.7365024
287,102,4,India,Sweet,Dairy Milk,0.69308776
287,103,2,India,Sour,Dried Amla,0.58503467
287,104,1,India,Salty,Balaji Chips,0.21931592
287,105,2,India,Bitter,Crispy Karela,0.40460092
205,101,2,India,Spicy,Kurkure,0.30644354
205,108,3,India,Sour,Hajmola,0.1264109
205,112,4,India,Spicy,Bhakarwadi,0.89030635
205,114,4,India,Sweet,Potato Chivda ,0.33274353
205,102,4,India,Sweet,Dairy Milk,0.46444023
205,109,5,India,Salty,Salted Peanuts,0.08766255
205,103,4,India,Sour,Dried Amla,0.44112828
205,104,3,India,Salty,Balaji Chips,0.6303398
205,105,3,India,Bitter,Crispy Karela,0.09325066
820,101,2,India,Spicy,Kurkure,0.8956132
820,102,4,India,Sweet,Dairy Milk,0.18348011
820,103,4,India,Sour,Dried Amla,0.83061415
820,104,4,India,Salty,Balaji Chips,0.26419175
820,105,1,India,Bitter,Crispy Karela,0.14548296
608,101,2,India,Spicy,Kurkure,0.537904
608,102,3,India,Sweet,Dairy Milk,0.85938245
608,103,5,India,Sour,Dried Amla,0.3712924
608,104,1,India,Salty,Balaji Chips,0.8178644
608,105,4,India,Bitter,Crispy Karela,0.29889113
134,101,1,India,Spicy,Kurkure,0.35776737
134,102,5,India,Sweet,Dairy Milk,0.3924474
134,103,5,India,Sour,Dried Amla,0.5857387
134,104,2,India,Salty,Balaji Chips,0.4127109
134,105,4,India,Bitter,Crispy Karela,0.70246494
898,101,3,India,Spicy,Kurkure,0.37219948
898,102,5,India,Sweet,Dairy Milk,0.80079174
898,103,2,India,Sour,Dried Amla,0.55680376
898,104,5,India,Salty,Balaji Chips,0.4496776
898,105,1,India,Bitter,Crispy Karela,0.3018753
497,101,3,India,Spicy,Kurkure,0.7310723
497,102,2,India,Sweet,Dairy Milk,0.09441984
497,103,5,India,Sour,Dried Amla,0.68378776
497,104,5,India,Salty,Balaji Chips,0.51809174
497,105,5,India,Bitter,Crispy Karela,0.123775035
823,101,4,India,Spicy,Kurkure,0.26765004
823,102,3,India,Sweet,Dairy Milk,0.69818664
823,103,1,India,Sour,Dried Amla,0.26993686
823,104,1,India,Salty,Balaji Chips,0.53443676
823,105,2,India,Bitter,Crispy Karela,0.64220774
560,101,1,India,Spicy,Kurkure,0.76461923
560,102,4,India,Sweet,Dairy Milk,0.27186543
560,103,1,India,Sour,Dried Amla,0.8040713
560,104,2,India,Salty,Balaji Chips,0.27671295
560,105,2,India,Bitter,Crispy Karela,0.328181
594,101,2,India,Spicy,Kurkure,0.7332927
594,102,1,India,Sweet,Dairy Milk,0.68070376
594,103,4,India,Sour,Dried Amla,0.61289686
594,104,3,India,Salty,Balaji Chips,0.3972506
594,105,1,India,Bitter,Crispy Karela,0.5627214
